자치구,택시운송업.1,한식 일반 음식점업.1,커피전문점.1,기타주점업.1,한식 육류요리 전문점.1
종로구,215,5912,3613,1413,1982
중구,235,6414,3542,982,2121
용산구,523,2987,2076,1332,1184
성동구,2527,2785,1859,621,1545
광진구,1744,2861,1887,1577,1678
동대문구,2093,3566,1472,1082,1509
중랑구,6262,2479,1037,1000,1504
성북구,2643,2822,1384,1030,1334
강북구,2589,2663,1095,1275,1176
도봉구,5783,2009,837,477,943
노원구,6074,2650,1748,844,1557
은평구,4430,2585,1296,925,1639
서대문구,2677,2694,1323,1127,1088
마포구,1838,4705,4475,2559,2928
양천구,4942,2800,1375,851,1111
강서구,6922,4584,2530,1709,2274
구로구,3817,3215,1384,1165,1496
금천구,2598,2619,1215,685,1042
영등포구,2397,6476,3295,1489,2151
동작구,1115,2322,1628,955,1177
관악구,2027,3689,2049,1672,1628
서초구,903,6712,3897,1255,2338
강남구,2517,11486,7273,2528,5008
송파구,4850,5760,3372,1469,2781
강동구,4980,3388,1660,1349,1459
